,lon,lat,depth,M0,strike,dip,rake,epi_time,slip,slip_velocity,stress
41,140.19363067722244,35.23461297079855,-29.339273926110494,1.46705e+19,290.0,25.0,143.0,30.742659467116884,305.0,94.0,4.790633608815427
42,140.059003650336,35.27468878731363,-29.339273926110494,3.4632e+18,290.0,25.0,143.0,26.47640458974745,72.0,34.0,1.7327823691460056
43,139.92437662344958,35.314764603828706,-29.339273926110494,1.55844e+19,290.0,25.0,143.0,22.236106773543884,324.0,72.0,3.6694214876033056
44,139.78974959656315,35.35484042034378,-29.339273926110494,2.70322e+19,290.0,25.0,143.0,18.040078836979745,562.0,115.0,5.860881542699724
45,139.65512256967673,35.394916236858855,-29.339273926110494,1.77008e+19,290.0,25.0,143.0,13.928388277184121,368.0,88.0,4.484848484848485
46,139.52049554279031,35.434992053373925,-29.339273926110494,2.0683e+19,290.0,25.0,143.0,10.005554013202424,430.0,78.0,3.975206611570248
47,139.3858685159039,35.475067869889,-29.339273926110494,2.55411e+19,290.0,25.0,143.0,6.616477747093069,531.0,93.0,4.739669421487603
48,139.25124148901745,35.51514368640407,-29.339273926110494,1.45262e+19,290.0,25.0,143.0,5.000000000000003,302.0,73.0,3.72038567493113
49,139.11661446213103,35.55521950291915,-29.339273926110494,1.2025e+18,290.0,25.0,143.0,6.616477747093068,25.0,13.0,0.662534435261708
50,140.36241869678716,35.2712996118862,-33.565456543517485,0.0,290.0,25.0,143.0,35.654203429921445,0.0,0.0,0.0
51,140.22779166990074,35.31137542840127,-33.565456543517485,4.81e+18,290.0,25.0,143.0,31.45720196641074,100.0,32.0,1.6308539944903582
52,140.09316464301432,35.35145124491635,-33.565456543517485,1.28908e+19,290.0,25.0,143.0,27.302828506300305,268.0,74.0,3.7713498622589534
53,139.9585376161279,35.39152706143142,-33.565456543517485,7.8884e+18,290.0,25.0,143.0,23.213980461973534,164.0,42.0,2.140495867768595
54,139.82391058924148,35.431602877946496,-33.565456543517485,1.00048e+19,290.0,25.0,143.0,19.23249564900221,208.0,56.0,2.8539944903581267
55,139.68928356235503,35.47167869446157,-33.565456543517485,1.02453e+19,290.0,25.0,143.0,15.441646429200626,213.0,64.0,3.2617079889807163
56,139.5546565354686,35.511754510976644,-33.565456543517485,1.443e+17,290.0,25.0,143.0,12.023125864580956,3.0,1.0,0.05096418732782369
57,139.4200295085822,35.55183032749172,-33.565456543517485,1.00529e+19,290.0,25.0,143.0,9.392668535736915,209.0,47.0,2.3953168044077136
58,139.28540248169577,35.59190614400679,-33.565456543517485,3.367e+17,290.0,25.0,143.0,8.333333333333334,7.0,3.0,0.15289256198347106
59,139.15077545480935,35.63198196052187,-33.565456543517485,0.0,290.0,25.0,143.0,9.392668535736913,0.0,0.0,0.0
60,140.39657968946548,35.34806206948892,-37.79163916092448,6.7821e+18,290.0,25.0,143.0,36.57716348883397,141.0,37.0,1.8856749311294767
61,140.26195266257906,35.38813788600399,-37.79163916092448,1.4911e+18,290.0,25.0,143.0,32.49957264676295,31.0,11.0,0.5606060606060607
62,140.12732563569264,35.428213702519066,-37.79163916092448,9.9567e+18,290.0,25.0,143.0,28.497563248655336,207.0,62.0,3.159779614325069
63,139.9926986088062,35.46828951903414,-37.79163916092448,1.23617e+19,290.0,25.0,143.0,24.60803843372234,257.0,57.0,2.90495867768595
64,139.85807158191977,35.508365335549215,-37.79163916092448,7.0226e+18,290.0,25.0,143.0,20.893911925619758,146.0,47.0,2.3953168044077136
65,139.72344455503335,35.54844115206429,-37.79163916092448,1.2506e+19,290.0,25.0,143.0,17.467430008765206,260.0,53.0,2.701101928374656
66,139.58881752814693,35.58851696857936,-37.79163916092448,6.9264e+18,290.0,25.0,143.0,14.533486237727764,144.0,72.0,3.6694214876033056
67,139.4541905012605,35.62859278509444,-37.79163916092448,6.734e+18,290.0,25.0,143.0,12.445436468396315,140.0,50.0,2.548209366391185
68,139.31956347437406,35.66866860160951,-37.79163916092448,3.8961e+18,290.0,25.0,143.0,11.666666666666666,81.0,40.0,2.038567493112948
69,139.18493644748764,35.70874441812459,-37.79163916092448,2.405e+18,290.0,25.0,143.0,12.445436468396315,50.0,25.0,1.2741046831955924
